water_depth (m),weight (t),installation_date,type_of_production (1 oil and gas; 2 oil; 3 gas),number_of_legs,number_of_piles,height_of_jacket_or_sub-structure (m),distance_to_coast (km),risk_to_other_users-complete,risk_to_other_users-partial,risk_to_personnel-complete,risk_to_personnel-partial,energy_consumption-complete (GJ),energy_consumption-partial (GJ),emissions-complete (t),emissions-partial (t),impacts_of_option-complete,impacts_of_option-partial,technical_feasibility_or_challenge-complete,technical_feasibility_or_challenge-partial,commercial_impact_on_fisheries-complete,commercial_impact_on_fisheries-partial,wider_community_impact-complete,wider_community_impact-partial,total_removal_cost-complete,total_removal_cost-partial
107,20656,33,2,8,28,127.72,138,0,1.6655147075653075e-08,0.101,0.125,863615,541163,58508,46378,0.0,0,0.5,0.155,0.002,0.001,0.034,0.015,0.99,0.744
151,27151,39,2,8,30,163.934,276,0,1.897197961807251e-07,0.027,0.03,390919,479873,38659,50072,0.493,1,0.5,0.816,0.53,0.008,0.481,0.537,1.0,0.414
146,26403,38,1,8,24,151.063,275,0,7.116377353668213e-09,0.078,0.072,859512,620828,76666,60197,0.01,1,0.499,0.452,0.03,0.003,0.104,0.189,1.0,0.416
155,27129,45,1,8,31,165.949,229,0,2.2968874931335448e-05,0.025,0.01,304776,607948,29724,35847,1.0,1,0.327,1.0,1.0,0.94,1.0,1.0,0.943,0.447
144,24750,39,3,8,31,162.342,127,0,5.381878614425659e-07,0.05,0.108,599370,560798,40468,53417,0.002,0,0.5,0.312,0.011,0.002,0.063,0.069,0.94,0.557
149,24827,41,1,8,24,157.263,281,0,1.4133761525154113e-06,0.032,0.016,545409,538344,59477,41645,0.933,1,0.478,0.989,0.965,0.49,0.828,0.914,1.0,0.427
101,20993,32,1,8,5,115.721,281,1,0.0,0.315,0.139,1120771,873574,91419,63375,0.0,1,0.0,1.0,1.0,0.939,0.302,0.672,1.0,0.41
100,11552,31,1,4,5,118.918,281,1,0.0,0.237,0.08,452771,505266,48183,35956,0.0,1,0.0,1.0,1.0,0.939,0.595,0.512,1.0,0.41
155,27587,45,3,8,31,165.838,135,0,4.992502003908157e-06,0.064,0.073,499047,742013,61750,63645,0.581,0,0.5,0.994,0.407,0.009,0.638,0.84,0.978,0.411
118,26791,44,1,8,31,120.528,141,0,8.887493014335633e-06,0.027,0.01,548595,581194,44273,39310,0.692,1,0.5,0.616,0.629,0.378,0.901,0.838,0.996,0.963
99,13547,32,1,4,5,114.476,281,1,0.0,0.31,0.134,869028,764540,73279,49780,0.0,1,0.0,1.0,0.999,0.94,0.658,0.516,1.0,0.418
150,24945,36,1,8,26,165.544,281,0,7.943993806838989e-08,0.025,0.01,304644,435614,27998,31546,0.996,1,0.5,0.989,0.998,0.17,0.957,0.984,1.0,0.41
155,25550,45,3,8,31,165.79,120,0,2.299998903274536e-05,0.025,0.014,298703,551742,24338,33197,0.893,1,0.5,1.0,0.99,0.885,0.993,0.983,0.53,0.999
99,14400,31,1,8,5,114.054,281,1,0.0,0.315,0.119,876524,705485,69877,52618,0.0,1,0.0,1.0,0.999,0.94,0.835,0.618,1.0,0.412
107,12220,40,1,8,5,115.144,189,1,2.0641264319419865e-07,0.244,0.06,1010340,764431,71470,42083,0.0,1,0.0,1.0,0.997,0.938,0.68,0.74,0.889,0.899
131,17842,45,1,8,31,146.869,130,0,2.299822330474853e-05,0.025,0.01,305330,459048,24705,31124,0.999,1,0.499,1.0,0.999,0.937,0.997,0.995,0.669,0.999
102,14772,32,1,8,25,131.487,281,0,6.573546230793e-07,0.025,0.01,321734,434034,27098,31111,0.883,1,0.496,0.908,0.984,0.466,0.809,0.9,1.0,0.595
101,10773,31,1,4,5,132.332,281,1,6.854534149169922e-13,0.033,0.031,337399,434300,25913,31268,0.0,1,0.001,0.939,0.801,0.335,0.382,0.177,1.0,0.411
101,19328,43,1,8,5,114.294,217,1,3.159254789352417e-09,0.31,0.132,1171997,882206,91440,62429,0.0,1,0.0,1.0,0.96,0.935,0.368,0.565,0.987,0.83
153,26427,45,3,8,31,163.665,120,0,1.997875988483429e-05,0.04,0.098,393655,610892,30777,51465,0.08,0,0.5,0.991,0.277,0.067,0.664,0.642,0.584,0.725
141,27442,45,1,8,31,131.096,258,0,2.288424062728882e-05,0.025,0.01,325631,492020,28042,32059,1.0,1,0.5,0.996,1.0,0.932,0.999,1.0,1.0,0.954
114,20943,37,1,8,6,121.347,278,1,1.0281801223754882e-11,0.309,0.144,1066514,764320,83487,59048,0.0,1,0.0,0.99,0.344,0.28,0.39,0.349,1.0,0.422
103,12648,42,1,8,17,115.976,120,0,4.587301015853882e-06,0.215,0.132,1028335,749090,73239,43854,0.0,1,0.066,0.874,0.019,0.166,0.13,0.05,0.546,0.997
108,10702,35,1,4,5,125.271,136,1,2.538233995437622e-09,0.304,0.157,606424,600980,39499,36994,0.0,1,0.0,0.998,0.276,0.558,0.208,0.125,0.918,0.896
105,14290,41,1,8,5,115.369,264,1,1.3709068298339844e-12,0.32,0.16,1131600,872994,88265,62282,0.0,1,0.0,1.0,0.971,0.937,0.511,0.588,0.999,0.485
155,26180,45,3,8,30,165.984,120,0,1.861478710174561e-05,0.047,0.155,317872,534387,28320,59747,0.02,0,0.5,0.996,0.082,0.002,0.251,0.292,0.566,0.425
102,11729,31,1,4,6,146.397,281,0,4.732370376586914e-09,0.025,0.012,329389,433795,27641,31154,0.032,1,0.377,0.71,0.811,0.121,0.376,0.432,1.0,0.436
153,17021,45,3,8,22,163.473,120,0,7.86380261182785e-06,0.272,0.159,660296,628392,51543,57192,0.0,0,0.439,0.98,0.003,0.006,0.042,0.081,0.533,0.746
155,22778,45,1,8,31,158.306,136,0,2.2999764204025268e-05,0.025,0.01,305380,520895,25749,31170,1.0,1,0.204,1.0,1.0,0.94,1.0,1.0,0.605,0.995
155,27550,45,3,8,31,165.486,207,0,2.299914181232452e-05,0.025,0.01,299820,516503,24977,32986,1.0,1,0.5,1.0,1.0,0.938,1.0,1.0,0.985,0.843
99,25861,39,1,8,9,114.01,281,1,0.0,0.319,0.137,1171697,885021,91666,63400,0.0,1,0.0,0.968,0.129,0.488,0.544,0.221,1.0,0.506
99,19118,35,1,8,5,114.009,282,1,0.0,0.32,0.159,1145116,886440,89905,63182,0.0,1,0.0,1.0,1.0,0.94,0.977,0.901,1.0,0.41
99,12294,35,1,8,5,114.084,273,1,2.4402141571044924e-10,0.29,0.097,1155506,849391,89893,53287,0.0,1,0.0,1.0,0.999,0.94,0.358,0.462,0.998,0.784
99,17183,31,1,8,12,114.421,281,0,1.3709068298339844e-12,0.031,0.015,883732,456280,67445,36124,0.0,1,0.443,0.154,0.01,0.005,0.064,0.029,1.0,0.559
99,16925,37,1,8,5,114.689,281,1,0.0,0.319,0.157,1089963,870284,88238,62182,0.0,1,0.0,1.0,0.994,0.938,0.616,0.465,1.0,0.447
155,27022,42,3,8,29,164.818,124,0,8.73953104019165e-10,0.282,0.158,1088479,736853,89566,63802,0.0,0,0.5,0.481,0.001,0.0,0.01,0.024,0.985,0.411
117,15043,42,1,8,11,120.273,138,1,1.7193481624126435e-06,0.261,0.102,1072999,808318,82568,52424,0.0,1,0.001,0.999,0.709,0.838,0.435,0.355,0.706,0.969
155,27592,45,3,8,31,165.918,124,0,2.299999451637268e-05,0.025,0.01,298267,550676,24430,33101,1.0,1,0.5,1.0,1.0,0.94,1.0,1.0,0.76,0.927
155,11577,37,1,4,5,165.877,246,1,2.0510137081146243e-08,0.183,0.156,329827,455144,29213,36130,0.0,1,0.003,1.0,0.54,0.08,0.144,0.426,0.96,0.411
99,10483,31,1,8,5,114.31,281,1,0.0,0.301,0.139,810936,578076,59952,38260,0.0,1,0.0,1.0,0.999,0.94,0.377,0.49,1.0,0.432
99,14775,31,1,8,23,114.122,281,0,5.552172660827637e-11,0.026,0.011,905919,437099,53544,31622,0.0,1,0.5,0.15,0.001,0.001,0.03,0.017,1.0,0.874
151,23838,44,1,8,9,146.966,124,1,3.95643025636673e-07,0.306,0.158,1080446,852769,87661,63020,0.0,0,0.001,1.0,0.467,0.486,0.369,0.584,0.727,0.562
114,11483,42,1,8,21,120.749,125,0,2.208311283588409e-05,0.037,0.013,530317,534322,33750,31654,0.153,1,0.02,0.998,0.918,0.916,0.799,0.8,0.586,0.997
127,15624,35,2,8,20,146.29,129,0,1.7778536677360539e-07,0.137,0.139,728994,530495,50343,42769,0.0,0,0.467,0.302,0.01,0.009,0.061,0.045,0.851,0.759
101,10389,39,1,8,7,116.141,120,1,3.463006615638733e-07,0.295,0.156,1056281,713285,65549,40038,0.0,1,0.0,0.996,0.018,0.521,0.068,0.05,0.552,0.999
99,22685,31,1,8,31,114.076,281,0,3.427267074584961e-12,0.025,0.011,987942,437755,71176,32596,0.001,1,0.5,0.15,0.001,0.0,0.016,0.016,1.0,0.633
154,15398,34,1,4,5,165.272,281,1,3.1636416912078864e-08,0.095,0.096,356954,464048,38528,36829,0.017,1,0.008,1.0,0.995,0.715,0.498,0.797,1.0,0.411
155,27493,45,2,8,31,165.903,238,0,2.287878167629242e-05,0.026,0.011,322767,690899,43792,50890,1.0,1,0.492,1.0,1.0,0.936,0.999,1.0,0.991,0.421
154,27098,45,3,8,31,159.188,120,0,1.7905479907989503e-05,0.039,0.062,419655,655047,33996,54638,0.057,0,0.5,0.985,0.224,0.057,0.634,0.606,0.639,0.734
100,23696,39,1,8,5,114.333,281,1,1.3709068298339844e-12,0.318,0.149,1172169,887452,91446,63499,0.0,1,0.0,1.0,0.988,0.936,0.597,0.369,1.0,0.426
111,15520,41,1,8,26,126.454,144,0,1.902669936418533e-05,0.027,0.021,417060,482572,30306,32302,0.146,1,0.492,0.859,0.454,0.461,0.672,0.554,0.823,0.986
133,10148,42,1,8,11,137.064,121,0,2.2924641251564025e-05,0.026,0.015,313607,438680,24460,31073,0.094,1,0.004,1.0,0.992,0.936,0.934,0.886,0.534,0.998
129,13158,42,1,8,8,125.556,138,0,7.777099609375e-06,0.137,0.094,865804,751489,67645,43014,0.003,1,0.0,1.0,0.916,0.907,0.626,0.714,0.635,0.929
99,10368,31,1,4,5,116.67,281,1,3.955066204071045e-10,0.057,0.034,400227,442829,27988,31392,0.0,1,0.0,0.997,0.939,0.899,0.365,0.19,1.0,0.592
155,25575,45,3,8,27,165.681,124,0,2.1760897636413572e-05,0.074,0.102,424392,720346,45828,55729,0.531,0,0.444,1.0,0.902,0.531,0.887,0.972,0.576,0.464
155,26671,45,1,8,31,164.87,281,0,2.1947158634662628e-05,0.025,0.01,324807,506624,38747,35165,1.0,1,0.493,1.0,1.0,0.929,0.997,0.999,1.0,0.442
155,18103,45,3,8,30,164.923,120,0,2.2999624371528625e-05,0.029,0.019,321152,659051,27225,32331,0.988,1,0.197,1.0,0.999,0.938,0.996,0.998,0.53,0.995
148,13552,40,1,4,13,163.226,272,0,1.638608193397522e-05,0.026,0.014,312956,444428,25475,31365,0.839,1,0.173,0.999,0.995,0.894,0.922,0.921,0.974,0.548
155,12697,45,3,8,11,165.945,128,0,2.2872607111930848e-05,0.03,0.094,307920,457626,25226,32412,0.319,1,0.093,1.0,0.984,0.757,0.852,0.942,0.547,0.581
155,27545,45,3,8,31,165.965,120,0,2.299999451637268e-05,0.025,0.01,298070,625777,24467,33947,1.0,1,0.5,1.0,1.0,0.94,1.0,1.0,0.534,0.872
99,17797,41,1,8,5,114.063,281,1,0.0,0.32,0.159,1113186,838398,86819,61306,0.0,1,0.0,1.0,0.428,0.83,0.695,0.195,1.0,0.533
99,27526,35,1,8,5,114.0,282,1,0.0,0.32,0.054,1180416,895326,91997,63995,0.0,1,0.0,1.0,0.889,0.937,0.517,0.25,1.0,0.412
154,27450,45,1,8,31,160.003,279,0,2.2339324355125428e-05,0.025,0.01,350258,570539,44174,39519,1.0,1,0.5,1.0,1.0,0.929,0.998,1.0,1.0,0.515
124,12209,45,1,8,25,118.003,124,0,2.293583059310913e-05,0.027,0.011,496336,594209,33394,31641,0.901,1,0.002,1.0,0.999,0.94,0.975,0.986,0.557,0.998
99,26962,45,1,8,5,114.004,281,1,0.0,0.32,0.16,1178413,895445,91979,63997,0.0,1,0.0,1.0,1.0,0.94,0.95,0.847,1.0,0.411
99,21319,34,1,8,8,114.206,278,1,0.0,0.309,0.129,1121406,804058,88492,59983,0.0,1,0.0,0.763,0.041,0.133,0.222,0.066,1.0,0.729
131,10394,32,1,4,6,155.864,281,0,2.828910112380981e-06,0.025,0.011,306022,433988,24713,31073,0.308,1,0.003,1.0,0.999,0.93,0.946,0.935,0.999,0.551
154,26227,45,1,8,23,155.629,278,0,7.610112190246582e-06,0.035,0.011,658857,804980,80886,50036,0.922,1,0.0,1.0,1.0,0.94,0.995,1.0,0.999,0.481
102,10187,31,1,4,5,136.552,281,1,4.249811172485352e-11,0.098,0.109,328959,436593,25273,31182,0.0,1,0.0,0.989,0.639,0.563,0.328,0.173,1.0,0.547
155,15781,45,3,8,28,158.688,120,0,2.2977857112884523e-05,0.078,0.08,524529,800042,35425,40725,0.076,1,0.031,1.0,0.944,0.918,0.927,0.973,0.53,0.994
145,27391,43,2,8,31,152.723,260,0,4.488095343112946e-07,0.031,0.019,583404,600986,50528,54698,0.563,1,0.5,0.633,0.582,0.042,0.61,0.726,0.999,0.461
99,16677,31,1,8,28,114.02,280,0,1.9192695617675782e-11,0.03,0.013,1121272,466971,78203,33385,0.0,1,0.499,0.15,0.001,0.001,0.021,0.007,1.0,0.988
151,21549,44,1,8,27,164.939,281,0,2.050726914405823e-05,0.025,0.01,306105,440759,26672,31682,0.999,1,0.494,1.0,1.0,0.867,0.978,0.993,1.0,0.472
154,27628,45,1,8,31,157.617,280,0,1.561505377292633e-05,0.025,0.01,364774,599005,41865,46245,1.0,1,0.5,0.996,1.0,0.774,0.999,0.999,1.0,0.433
101,16669,33,1,8,16,117.924,272,0,8.036050200462343e-08,0.061,0.017,976673,575461,74982,41429,0.006,1,0.046,0.908,0.525,0.537,0.366,0.512,0.999,0.854
108,14076,36,1,8,26,150.149,260,0,1.447955220937729e-06,0.026,0.026,368740,443414,27658,31725,0.018,1,0.5,0.563,0.211,0.04,0.336,0.286,0.998,0.84
99,22232,34,1,8,5,114.029,281,1,0.0,0.318,0.138,1160605,856083,90236,62762,0.0,1,0.0,1.0,0.974,0.932,0.706,0.445,1.0,0.417
111,10288,32,1,4,5,135.383,239,1,6.174173653125763e-07,0.077,0.084,458194,472043,30269,31944,0.0,1,0.0,1.0,0.976,0.92,0.293,0.392,0.852,0.786
100,10506,31,1,4,5,121.971,282,1,0.0,0.066,0.024,370979,442683,35092,31665,0.0,1,0.0,1.0,1.0,0.939,0.414,0.37,1.0,0.41
103,24101,37,1,8,5,115.167,281,1,5.4836273193359375e-12,0.301,0.117,1140627,855660,89723,62782,0.0,1,0.0,1.0,0.929,0.855,0.356,0.5,1.0,0.415
99,10593,32,1,8,30,116.402,120,0,3.4670233726501467e-09,0.198,0.135,785122,457310,37069,33657,0.0,1,0.498,0.15,0.0,0.0,0.005,0.002,0.926,0.997
138,20381,45,3,8,31,159.907,120,0,2.2997894287109372e-05,0.025,0.012,306732,524038,24731,31624,0.927,1,0.5,0.998,0.981,0.871,0.983,0.953,0.553,0.999
104,21642,40,1,8,6,114.68,266,1,2.9289424419403078e-09,0.292,0.101,1153577,861782,90571,60539,0.0,1,0.0,1.0,0.872,0.909,0.445,0.573,0.998,0.712
99,23674,31,1,8,31,114.021,280,0,0.0,0.095,0.023,1147969,540880,87441,45261,0.0,1,0.499,0.15,0.0,0.0,0.021,0.005,1.0,0.841
99,22648,31,1,8,30,115.323,164,0,0.0,0.151,0.125,1120557,596710,87375,54767,0.0,1,0.5,0.15,0.0,0.0,0.005,0.001,1.0,0.849
155,13526,45,3,8,29,165.431,120,0,2.299877715110779e-05,0.033,0.077,318099,597657,25902,33868,0.612,1,0.46,1.0,0.929,0.878,0.919,0.931,0.53,0.991
150,17948,43,1,8,26,159.305,275,0,2.2199683785438535e-05,0.025,0.01,327446,450870,28036,31459,0.997,1,0.313,1.0,1.0,0.932,0.983,0.991,0.993,0.716
155,27216,45,2,8,31,164.136,121,0,2.2999786138534547e-05,0.025,0.01,306935,724962,26630,33910,1.0,1,0.493,1.0,1.0,0.94,1.0,1.0,0.575,0.979
99,21528,36,1,8,5,114.054,281,1,0.0,0.319,0.152,1167173,882845,91406,63415,0.0,1,0.0,1.0,0.997,0.94,0.449,0.479,1.0,0.435
147,27486,43,1,8,31,162.135,281,0,5.7906316220760346e-06,0.025,0.01,320554,460259,32348,37335,0.999,1,0.5,0.923,0.996,0.205,0.979,0.981,1.0,0.419
155,25695,45,2,8,27,165.426,266,0,1.8085134506225586e-05,0.028,0.015,356664,533738,37617,38496,0.991,1,0.467,1.0,0.997,0.817,0.987,0.991,0.99,0.428
127,10828,35,3,8,27,148.658,120,0,1.778772175312042e-07,0.26,0.16,563976,508793,32098,36538,0.0,0,0.498,0.172,0.0,0.0,0.001,0.001,0.533,0.997
106,23793,44,1,8,31,115.075,147,0,1.716396737098694e-05,0.025,0.01,513707,594193,39490,31733,0.954,1,0.5,0.922,0.976,0.911,0.984,0.966,0.991,0.997
106,15682,32,1,4,5,123.581,281,1,1.0967254638671877e-11,0.222,0.107,577383,560865,56582,42083,0.0,1,0.0,1.0,0.982,0.906,0.569,0.554,1.0,0.411
140,10552,32,1,4,5,160.136,229,1,1.3336867094039917e-08,0.182,0.151,367960,452501,30362,32680,0.0,1,0.0,0.999,0.45,0.342,0.294,0.192,0.938,0.567
154,27518,45,1,8,31,164.615,281,0,2.06929749250412e-05,0.025,0.01,302571,440303,28959,31743,1.0,1,0.5,1.0,1.0,0.882,0.999,1.0,1.0,0.421
154,21656,44,3,8,25,164.307,145,0,1.3491628766059877e-05,0.055,0.074,505297,587837,41715,45988,0.29,1,0.426,0.997,0.747,0.354,0.69,0.87,0.717,0.55
101,25481,45,1,8,6,114.08,159,1,3.5643577575683594e-11,0.32,0.158,1179114,892641,91895,63882,0.0,1,0.0,1.0,0.078,0.657,0.204,0.24,0.997,0.81
151,16966,44,2,4,24,164.583,141,0,1.9590513586997987e-05,0.029,0.034,318211,489800,26674,33517,0.291,1,0.486,0.993,0.839,0.441,0.863,0.843,0.817,0.73
129,24379,34,1,8,26,148.638,281,0,1.4948285818099976e-06,0.025,0.01,443834,453194,45381,33798,0.983,1,0.495,0.983,0.991,0.591,0.86,0.931,1.0,0.437
101,14859,32,1,8,5,117.136,281,1,2.0563602447509765e-12,0.209,0.06,934486,563866,69473,47084,0.0,1,0.0,0.994,0.868,0.549,0.212,0.398,1.0,0.412
99,16853,31,1,8,11,114.049,268,0,3.427267074584961e-12,0.249,0.073,997183,554828,68900,37049,0.0,1,0.007,0.181,0.009,0.071,0.285,0.026,1.0,0.969
155,27620,44,2,8,31,165.225,280,0,4.848270267248154e-06,0.025,0.011,408016,522676,53364,59534,1.0,1,0.5,0.968,0.988,0.069,0.959,0.984,1.0,0.411
102,12999,34,1,4,5,116.801,280,1,0.0,0.307,0.143,700328,556562,51040,40483,0.0,1,0.0,0.966,0.194,0.393,0.53,0.243,1.0,0.459
122,10090,35,1,8,5,142.781,123,0,2.184823399782181e-05,0.03,0.036,338702,446919,25039,31113,0.001,1,0.0,1.0,0.977,0.931,0.529,0.513,0.534,0.995
129,16662,44,1,8,28,139.588,242,0,2.268805837631225e-05,0.025,0.01,348100,503774,30508,31597,0.995,1,0.099,1.0,1.0,0.939,0.987,0.989,0.926,0.975
105,11375,45,1,8,29,114.31,120,0,2.2993031680583956e-05,0.026,0.01,559422,553226,30813,31147,0.942,1,0.003,1.0,0.999,0.94,0.991,0.987,0.532,1.0
105,19746,31,1,8,20,128.796,268,0,1.2626051902770994e-09,0.075,0.079,890681,494380,69131,47026,0.0,1,0.496,0.167,0.006,0.002,0.043,0.035,1.0,0.515
145,11201,45,1,8,17,136.915,120,0,2.2832324385643005e-05,0.051,0.029,615915,642720,39329,32843,0.116,1,0.001,1.0,0.985,0.936,0.859,0.893,0.532,0.998
154,27186,45,1,8,31,127.477,125,0,2.286610901355744e-05,0.03,0.01,692602,865760,70106,48588,0.997,1,0.01,1.0,1.0,0.94,1.0,1.0,0.836,0.982
99,13527,31,1,8,5,114.17,281,1,2.7418136596679688e-12,0.107,0.024,1022568,513647,75149,39306,0.0,1,0.0,0.95,0.508,0.661,0.141,0.166,1.0,0.508
100,25053,35,1,8,8,115.832,281,1,1.3709068298339844e-12,0.24,0.061,1157657,798657,90245,62381,0.0,1,0.001,0.989,0.526,0.458,0.16,0.391,1.0,0.415
120,15497,32,1,4,9,154.079,281,0,8.301526308059694e-08,0.028,0.021,420103,443076,34573,32869,0.036,1,0.383,0.858,0.718,0.158,0.322,0.388,1.0,0.458
155,26878,45,3,8,31,158.392,120,0,2.2999942421913147e-05,0.025,0.01,308387,646943,25398,31959,1.0,1,0.5,1.0,1.0,0.94,1.0,1.0,0.552,0.995
104,11539,31,1,4,6,136.854,278,1,9.701907634735107e-09,0.072,0.068,490949,457705,36961,33009,0.0,1,0.016,0.889,0.436,0.244,0.256,0.182,0.999,0.542
152,11226,45,2,8,31,124.432,120,0,2.299999451637268e-05,0.025,0.01,314878,564652,24730,31086,1.0,1,0.003,1.0,1.0,0.94,1.0,1.0,0.53,1.0
99,25052,35,1,8,5,114.003,281,1,0.0,0.319,0.13,1171665,875209,91474,62171,0.0,1,0.0,0.957,0.154,0.595,0.638,0.086,1.0,0.72
99,13274,31,1,8,9,114.384,281,1,0.0,0.033,0.012,902153,449495,66293,33598,0.0,1,0.048,0.191,0.052,0.053,0.059,0.092,1.0,0.497
153,10796,42,3,8,11,163.973,121,0,2.259709733724594e-05,0.035,0.102,339013,464307,25525,31952,0.016,1,0.07,0.999,0.731,0.633,0.453,0.477,0.534,0.91
144,23578,37,3,8,31,158.67,120,0,7.057428359985351e-09,0.249,0.158,870141,574130,63221,60242,0.0,0,0.5,0.164,0.0,0.0,0.003,0.002,0.841,0.583
99,16362,31,1,8,5,114.009,281,1,0.0,0.286,0.038,1056482,595957,78640,45138,0.0,1,0.0,0.997,0.737,0.868,0.451,0.231,1.0,0.415
115,10287,33,1,8,5,127.908,134,1,2.6921388506889345e-07,0.237,0.147,601162,491431,32537,32368,0.0,1,0.0,1.0,0.625,0.819,0.224,0.14,0.691,0.929
118,19547,31,1,8,6,124.87,281,1,3.701448440551758e-11,0.16,0.06,943761,550832,82083,45102,0.001,1,0.014,0.943,0.713,0.201,0.26,0.487,1.0,0.413
135,21056,40,1,8,8,136.932,281,1,3.939986228942871e-09,0.137,0.034,953171,715658,84833,49893,0.008,1,0.0,1.0,0.997,0.917,0.727,0.922,1.0,0.421
102,26652,31,1,8,24,121.597,281,0,0.0,0.025,0.01,940706,441639,83653,47803,0.003,1,0.5,0.152,0.013,0.0,0.016,0.049,1.0,0.41
100,14087,34,1,4,5,115.332,281,1,0.0,0.319,0.158,731927,791151,68794,56924,0.0,1,0.0,1.0,0.999,0.939,0.676,0.486,1.0,0.416
151,16038,43,3,8,25,164.438,120,0,2.1331810653209687e-06,0.198,0.158,405526,507027,28107,48758,0.0,0,0.499,0.77,0.001,0.001,0.024,0.019,0.559,0.635
153,10958,38,1,4,5,161.865,281,1,1.8612390756607057e-07,0.027,0.012,312988,464611,26952,31258,0.015,1,0.0,1.0,1.0,0.94,0.984,0.997,1.0,0.417
115,23056,42,1,8,6,121.52,189,1,8.225440979003906e-12,0.318,0.159,1118679,867557,89503,63090,0.0,1,0.0,0.999,0.161,0.241,0.259,0.187,0.999,0.495
127,13665,34,1,8,5,147.077,276,1,2.8035044670104977e-10,0.305,0.158,742956,652779,69098,51880,0.0,1,0.0,1.0,0.965,0.892,0.453,0.411,0.998,0.428
99,26778,43,1,8,5,114.008,281,1,0.0,0.32,0.154,1176207,892182,91688,63844,0.0,1,0.0,0.999,0.43,0.866,0.689,0.265,1.0,0.616
122,10868,37,1,8,5,134.095,271,1,1.3646863400936126e-06,0.035,0.015,460769,513645,36285,31939,0.003,1,0.0,1.0,1.0,0.94,0.855,0.923,0.974,0.851
99,25300,41,1,8,27,114.009,126,0,0.0,0.32,0.159,1171870,863454,90651,62606,0.0,1,0.017,0.151,0.0,0.0,0.04,0.002,1.0,0.994
99,18938,34,1,8,5,114.089,281,1,0.0,0.318,0.144,1141793,876720,90488,62748,0.0,1,0.0,1.0,0.999,0.94,0.615,0.575,1.0,0.414
153,27531,45,2,8,31,161.918,247,0,2.2897330045700078e-05,0.025,0.01,315692,577303,28528,38110,1.0,1,0.5,0.999,1.0,0.895,0.997,0.998,0.998,0.636
99,21699,37,1,8,5,114.009,281,1,0.0,0.32,0.159,1144232,892434,91215,63784,0.0,1,0.0,1.0,1.0,0.94,0.845,0.736,1.0,0.411
155,25120,45,3,8,30,165.994,120,0,2.2668328285217285e-05,0.125,0.159,330339,639782,28834,61975,0.003,0,0.5,1.0,0.054,0.003,0.17,0.268,0.531,0.457
104,16129,32,1,4,5,118.404,281,1,0.0,0.308,0.147,964922,795171,85864,58801,0.0,1,0.0,1.0,1.0,0.94,0.601,0.706,1.0,0.41
99,16119,32,1,8,14,115.136,242,0,1.4394521713256835e-11,0.217,0.116,1020962,611462,79842,46855,0.0,1,0.041,0.244,0.008,0.03,0.169,0.029,1.0,0.964
113,10327,35,1,8,8,135.939,120,0,3.790708184242249e-07,0.256,0.155,541316,518472,32598,33696,0.0,1,0.005,0.978,0.034,0.136,0.047,0.06,0.583,0.969
99,18493,33,1,8,5,114.542,281,1,0.0,0.308,0.125,1073766,720961,83673,53780,0.0,1,0.0,0.99,0.548,0.635,0.503,0.277,1.0,0.478
104,16183,36,1,8,5,116.177,212,1,6.306171417236328e-11,0.316,0.154,1081190,811061,87360,57692,0.0,1,0.0,0.999,0.453,0.724,0.431,0.298,0.997,0.816
101,14014,31,1,8,5,116.481,281,1,8.225440979003906e-12,0.26,0.071,1078597,686388,86358,50025,0.0,1,0.0,1.0,0.998,0.936,0.349,0.587,1.0,0.414
155,27451,45,3,8,31,165.478,138,0,2.2533500969409944e-05,0.03,0.012,370701,712258,46698,53832,0.999,1,0.5,1.0,0.999,0.856,0.994,0.998,0.935,0.492
103,12100,33,1,4,5,122.489,272,1,1.0624527931213379e-10,0.29,0.143,580460,541260,42439,41057,0.0,1,0.0,0.992,0.632,0.649,0.391,0.269,0.999,0.494
107,14498,41,1,8,30,116.959,138,0,1.7058366417884826e-05,0.026,0.011,506101,476360,30251,31374,0.168,1,0.486,0.821,0.546,0.679,0.741,0.655,0.945,0.998
155,15451,44,3,8,27,165.957,120,0,1.3516158401966097e-05,0.038,0.159,307166,462837,25091,43176,0.0,0,0.5,0.951,0.003,0.0,0.02,0.027,0.541,0.614
154,19999,45,1,8,28,162.644,237,0,2.296353387832641e-05,0.025,0.01,311755,475682,27155,31422,1.0,1,0.343,1.0,1.0,0.939,0.997,0.997,0.878,0.864
120,15871,35,1,8,19,142.679,152,0,4.284083843231201e-09,0.225,0.142,784583,587238,59057,47891,0.0,1,0.333,0.45,0.016,0.016,0.062,0.073,0.985,0.655
99,20330,35,1,8,7,114.009,280,1,0.0,0.319,0.143,1148848,828511,86400,58117,0.0,1,0.0,0.865,0.031,0.424,0.426,0.052,1.0,0.921
99,17037,32,1,8,5,114.086,281,1,0.0,0.32,0.157,1032670,858032,87766,62774,0.0,1,0.0,1.0,1.0,0.94,0.657,0.6,1.0,0.41
100,10499,31,1,4,5,119.42,281,1,1.0967254638671877e-11,0.093,0.052,493585,451182,41306,32074,0.0,1,0.0,1.0,0.977,0.92,0.336,0.373,1.0,0.428
134,12704,45,3,8,30,138.721,120,0,2.297341126203537e-05,0.027,0.015,354232,539433,26499,31474,0.699,1,0.458,0.998,0.949,0.908,0.938,0.882,0.532,0.998
