platform,water_depth,weight,installation_date,type_of_production (1 oil and gas; 2 oil; 3 gas),number_of_legs,number_of_piles,height_of_jacket_or_sub-structure,distance_to_coast,risk_to_other_users-complete ,risk_to_personnel-complete,risk_to_personnel-partial,energy_consumption-complete,energy_consumption-partial,emissions-complete,emissions-partial,impacts_of_option-complete,technical_feasibility_or_challenge-complete,technical_feasibility_or_challenge-partial,commercial_impact_on_fisheries-complete,commercial_impact_on_fisheries-partial,wider_community_impact-complete,wider_community_impact-partial,total_removal_cost-partial
21.0,143.0,15559.0,1976.0,3.0,9.0,28.0,148.0,120.0,0.0,0.28054289523821746,-0.18324271425658364,297656.0,530149.0,24275.0,31063.0,0.5549626142752891,0.2572522423731073,2.0,0.0,1.2265707888401993,0.0,0.0,0.2865208590833089
24.0,157.0,27646.0,1978.0,0.0,9.0,34.0,165.0,241.0,2.0,-0.01172692895444092,0.028271603962463927,487748.0,570817.0,40416.0,45267.0,0.528549536863719,0.8581052230171651,0.0,0.0,0.5985407919802054,0.0,3.0,0.5467098444276465
26.0,102.0,18585.0,1981.0,1.0,8.0,21.0,122.34964071288663,232.0,2.0,0.003930855085105128,-0.15769618096211888,733084.0,511764.0,59587.0,41169.0,0.3805908585145775,0.478124689425224,0.22935911524999733,2.0,0.8407798120893457,2.0,0.0,0.6697773924758945
25.0,143.0,17500.0,1983.0,5.0,8.0,18.0,153.0,132.0,1.0,0.12393937088026805,0.2568258923083268,519998.0,567998.0,42001.0,43999.0,0.6225528126524876,0.7758572266264974,0.4230708169615874,0.0,0.0,3.0,1.0,0.5743437802147269
29.0,116.0,10054.0,1991.0,1.0,6.0,5.0,138.0,281.0,0.0,0.37746312416066385,0.2221882503722577,469825.0,433180.0,37161.0,32192.0,0.6088602997854837,0.34992577635333366,1.1037302656488484,1.0259562739846886,0.7446342705994796,0.6411185314713346,0.8662764070404907,0.7203424514138481
2.0,100.0,21999.0,1990.0,0.0,6.0,9.0,116.0,185.0,3.0,0.3581905948041675,0.40328640908938246,1110099.0,816998.0,86999.0,58501.0,0.5647725927022077,0.0,0.0,0.9177560198523533,1.1063987969158142,0.9769277386128863,0.5865992072175137,0.4764734288363371
4.0,112.0,30366.0,1984.0,3.0,10.0,8.0,121.0,205.0,2.0,0.11495590396940364,0.3947270866130369,1180502.0,895498.0,91998.0,64002.0,0.732583132053535,0.0,3.0,0.6579012761018808,0.9127926703975882,0.547698973395595,0.6987664371061423,0.9493630870971421
19.0,142.0,15561.0,1976.0,0.0,6.0,27.0,148.0,120.0,2.0,0.2774246581682512,-0.20196511707524115,297652.0,530149.0,24279.0,31065.0,1.0416756650230403,0.6700258028382629,2.0,0.0,0.8712396867195656,1.0,1.0,0.8716090543296002
25.0,155.0,27647.0,1981.0,1.0,9.0,31.0,166.0,242.0,1.0,-0.12137558669553009,-0.14848081548905356,487751.0,570818.0,40415.0,45264.0,0.3106309849340523,0.6098829791157779,3.0,0.0,0.6422896525964805,0.0,0.0,0.6619338294779676
25.0,105.0,18583.0,1984.0,4.0,10.0,21.0,122.5675973132449,229.0,1.0,0.27668540184819135,0.3418178503912314,733082.0,511765.0,59587.0,41170.0,0.7182868582754871,0.3605536905550917,0.13990700908168838,0.0,1.0640054629605622,0.0,3.0,0.5772182900088191
28.0,143.0,17501.0,1985.0,4.0,9.0,22.0,156.0,130.0,1.0,0.42030770137801404,0.046963877612784366,519999.0,568000.0,42002.0,43998.0,0.4278339956020745,0.6436262728820847,0.5968697962126681,1.0,2.0,3.0,2.0,0.5767712115336927
27.0,115.0,10055.0,1994.0,2.0,6.0,7.0,136.0,284.0,1.0,0.16070398174271666,0.11597066491673916,469824.0,433179.0,37163.0,32190.0,0.5952388503750229,0.46769253939546235,0.6618311591020251,1.059139620073246,0.9747276149878988,0.8389933420979081,0.6453357401687654,0.7008538454217458
0.0,97.0,22001.0,1986.0,0.0,10.0,6.0,112.0,187.0,1.0,0.44883828087592786,0.02786515599128561,1110102.0,817002.0,87000.0,58500.0,0.2999121733458591,2.0,2.0,0.6530153436320945,0.7451928979542151,0.6932465602882026,0.6882174721617013,0.7989673280320637
2.0,111.0,30365.0,1982.0,2.0,7.0,9.0,123.0,206.0,1.0,0.05858597197850529,0.12706990128427015,1180500.0,895501.0,92000.0,64000.0,0.6872550628471588,2.0,3.0,0.8516870496413643,0.920115684112772,0.27391814577570384,0.5350864688223419,0.5209853051856563
18.0,142.0,15562.0,1976.0,2.0,10.0,25.0,147.0,120.0,2.0,0.19552754370966677,-0.26352650650832254,297656.0,530149.0,24276.0,31064.0,0.8900152903217166,0.2628350953864192,0.0,0.0,1.1797623548403477,2.0,2.0,0.36994197639508586
24.0,158.0,27646.0,1981.0,2.0,10.0,31.0,164.0,242.0,0.0,-0.12355573807967271,-0.08754460128882625,487751.0,570816.0,40418.0,45264.0,0.19650650977179518,1.0173664483541884,2.0,0.0,0.8604851766419398,2.0,3.0,1.0390155882621848
25.0,101.0,18583.0,1984.0,1.0,6.0,18.0,122.75772719730038,232.0,0.0,0.24838502675300603,-0.21354033528088223,733082.0,511767.0,59588.0,41172.0,0.6435731785352008,0.0007070806532319951,0.3006153844714391,1.0,0.8860529762234592,3.0,0.0,1.158380754793343
25.0,145.0,17501.0,1984.0,1.0,8.0,18.0,155.0,128.0,0.0,0.5117272340929213,0.14333823778778043,520002.0,567999.0,41999.0,44002.0,0.8059431730025417,0.35859622098779975,0.8497213906092111,2.0,0.0,2.0,3.0,0.4673744964337908
30.0,118.0,10054.0,1994.0,1.0,4.0,4.0,136.0,283.0,1.0,0.18481014990654734,0.29434733019569465,469824.0,433177.0,37160.0,32192.0,0.7279299865664035,0.23985022139451495,1.1161711069513487,0.8577103424690938,0.9511002181197873,0.8510798842500881,0.7141562395787243,0.1717743566787101
0.0,97.0,22000.0,1990.0,2.0,9.0,6.0,115.0,187.0,3.0,0.24577234744223592,0.4713308304234112,1110100.0,816999.0,86999.0,58501.0,0.6177251525743064,2.0,1.0,0.93428071534595,0.5185858993449803,0.4381755747807209,0.503255819814936,0.5805251673785392
4.0,111.0,30363.0,1985.0,1.0,10.0,8.0,121.0,209.0,1.0,0.39601329464068646,0.6080619857390511,1180502.0,895502.0,91999.0,63998.0,0.34770148624681707,0.0,0.0,0.787366453751019,0.908970663509546,0.325889821523643,0.6705475606415646,0.576679819507095
22.0,143.0,15560.0,1980.0,4.0,8.0,24.0,149.0,120.0,0.0,0.06406809964110041,-0.39832250370580824,297652.0,530148.0,24276.0,31063.0,0.6139086115087197,0.1812473002840653,0.0,0.0,0.7528272690671192,1.0,1.0,0.6598921755118121
23.0,157.0,27648.0,1979.0,2.0,9.0,31.0,166.0,239.0,1.0,0.01708396352999336,0.060364557083981515,487751.0,570817.0,40416.0,45268.0,0.8926855175673025,0.8526714504229448,1.0,0.0,0.46366476388770084,2.0,0.0,0.7863950122281391
27.0,103.0,18586.0,1982.0,4.0,9.0,22.0,122.38543346516965,231.0,0.0,-0.17236852579741577,0.10257006050425516,733083.0,511763.0,59587.0,41170.0,0.4202251800618595,0.5626620806858923,0.30458034649094146,0.0,1.0372889693945186,1.0,1.0,0.634538794993703
25.0,146.0,17501.0,1982.0,1.0,6.0,22.0,156.0,128.0,0.0,0.26814319632913464,-0.13635320194918243,520002.0,568000.0,42002.0,43998.0,0.47029181147090593,0.25642759590208564,0.542391530066849,0.0,1.0,1.0,1.0,0.3763674708311985
29.0,117.0,10054.0,1994.0,1.0,3.0,3.0,134.0,280.0,1.0,-0.0989057171335137,0.09431681696326427,469823.0,433178.0,37160.0,32192.0,0.6443937139767317,0.055361158973279034,0.664137730479418,0.8873274395282935,0.9220943117801699,0.7493426428573882,0.4833653541302827,0.663535033815951
1.0,97.0,21999.0,1989.0,0.0,7.0,10.0,112.0,187.0,3.0,0.11386390988818318,0.20974399934329668,1110102.0,817002.0,87002.0,58500.0,0.2477652593362421,2.0,2.0,0.5641472648635063,1.2337562762915715,0.7517706231688327,0.0401307715649728,0.44071499192727914
3.0,110.0,30366.0,1985.0,0.0,6.0,9.0,121.0,208.0,1.0,0.5359713236550576,-0.08919203530940789,1180499.0,895499.0,92000.0,64002.0,0.3039605789041453,0.0,0.0,1.0149491497043912,0.561877550714504,0.3851744938718794,0.4478543185863515,0.30532569780038543
20.0,142.0,15560.0,1980.0,3.0,10.0,26.0,146.0,120.0,1.0,-0.1808055049275654,0.01269534257692187,297654.0,530148.0,24279.0,31066.0,0.738881080123956,0.45754634116953263,0.0,3.0,1.1514673617265891,1.0,2.0,0.5365411839016251
25.0,155.0,27645.0,1979.0,3.0,6.0,33.0,168.0,241.0,2.0,-0.16651783821844898,-0.0745298016081395,487749.0,570820.0,40417.0,45267.0,0.3131368028368741,0.6354448634093622,3.0,0.0,0.5745163833025496,2.0,0.0,0.6928419823952298
26.0,104.0,18583.0,1983.0,2.0,6.0,18.0,122.6546481213708,231.0,2.0,-0.02679480345416227,0.0003101801208628546,733080.0,511765.0,59590.0,41171.0,0.9842237713367412,0.4422042928228229,0.02613977821829555,1.0,0.7492616925410768,1.0,1.0,1.0521854153578285
27.0,145.0,17502.0,1984.0,2.0,10.0,20.0,154.0,128.0,1.0,0.11679331042218644,0.045862461549423375,519999.0,567998.0,42002.0,44001.0,0.5103578087765199,0.5214771347941327,0.2681495865987709,0.0,0.0,2.0,1.0,0.7682637203843962
28.0,118.0,10053.0,1995.0,0.0,6.0,3.0,137.0,281.0,2.0,-0.17923716550766094,0.1512247586983039,469825.0,433180.0,37160.0,32190.0,0.6646014499299916,0.2422330998946577,0.9186377736875735,0.8499352738328144,0.5003323129853398,0.6027478588002588,0.7823853326629375,0.45259081930914113
1.0,97.0,21999.0,1990.0,3.0,7.0,6.0,115.0,189.0,2.0,0.14953408395444717,0.04801840248477515,1110102.0,817000.0,87002.0,58499.0,0.12538903293715437,1.0,0.0,0.8045908695202215,1.1262917946403634,0.41572633320398594,0.16980806001073123,0.10481618106150331
3.0,111.0,30366.0,1981.0,0.0,9.0,8.0,124.0,207.0,0.0,0.4786419651339832,0.28668176003283136,1180501.0,895500.0,91999.0,64002.0,0.397299576005284,1.0,0.0,0.6206077065605735,0.9834651573942128,0.18270077188541467,0.6025635439437387,0.20323097001985652
22.0,141.0,15561.0,1978.0,2.0,6.0,28.0,147.0,121.0,1.0,-0.006100513302950406,0.10696442936252844,297655.0,530146.0,24278.0,31064.0,0.7777509306227912,0.10705862797336602,1.0,1.0,1.1035826252498704,0.0,3.0,0.17949185101595794
23.0,155.0,27649.0,1980.0,3.0,6.0,30.0,166.0,238.0,2.0,0.18374924621555375,0.05532115567447843,487750.0,570820.0,40414.0,45266.0,0.5719721386126553,0.7371612766715616,0.0,0.0,0.49491470757989886,0.0,0.0,0.5660535105984499
26.0,101.0,18582.0,1981.0,4.0,8.0,22.0,122.1210657693639,230.0,1.0,-0.15575403020429635,0.4991036589226664,733082.0,511767.0,59587.0,41171.0,0.3615278462562815,0.2768216223617881,0.25903336052997694,3.0,1.1025882821907884,0.0,0.0,0.5312492343191607
25.0,145.0,17500.0,1984.0,2.0,9.0,22.0,155.0,129.0,0.0,0.1399079424501443,0.26238201784266235,519998.0,568000.0,42000.0,43998.0,0.3171309309206365,0.09140749565729672,0.9869757178399294,0.0,1.0,0.0,2.0,0.9050774437588037
29.0,116.0,10052.0,1992.0,2.0,3.0,3.0,135.0,280.0,1.0,0.46878567515106123,0.10044804003227967,469825.0,433180.0,37162.0,32192.0,0.5289158057792643,0.0811027870248981,0.757142541485368,1.1140281630582551,0.8898948392030188,0.786535141283511,1.0118258159097635,0.7016550406169455
1.0,100.0,22002.0,1989.0,1.0,9.0,7.0,115.0,189.0,3.0,0.19123063673606283,0.18348269077929263,1110100.0,817000.0,87002.0,58502.0,0.08096755428334246,0.0,0.0,0.6241707011220667,0.888070490899701,0.47409465457400324,0.5240522844914126,0.4641684265004616
0.0,114.0,30366.0,1982.0,0.0,9.0,8.0,121.0,207.0,2.0,0.23130242391130926,0.11300688461665939,1180501.0,895500.0,92001.0,63999.0,0.22735550602056054,0.0,1.0,0.6917609881025869,0.8986836190640375,0.4752497459100569,0.38867673603429653,0.4021822518834145
22.0,139.0,15559.0,1977.0,2.0,6.0,25.0,145.0,122.0,1.0,0.2770480065491155,0.11216980096667445,297653.0,530146.0,24277.0,31063.0,1.045672270833018,0.42751167433048776,2.0,0.0,1.116084659752757,2.0,0.0,0.5381246811806774
26.0,156.0,27646.0,1980.0,2.0,8.0,31.0,167.0,242.0,0.0,-0.2413226643838627,-0.49886327499158944,487750.0,570816.0,40418.0,45266.0,0.6530645202636042,0.9847740317506739,3.0,3.0,0.8428342351017256,0.0,2.0,0.4032162785428832
27.0,103.0,18585.0,1985.0,3.0,7.0,21.0,122.10843958635634,230.0,1.0,0.04664772016938835,0.04184790069776741,733084.0,511765.0,59590.0,41172.0,0.7294422410234256,0.20935350448140166,0.3459117472043628,3.0,1.3108131944669013,2.0,0.0,0.9076479375880104
29.0,143.0,17499.0,1981.0,3.0,9.0,18.0,156.0,128.0,1.0,0.432454360081102,0.12067916473436104,520002.0,567999.0,42001.0,43999.0,0.7256014828089649,0.7019891033830641,0.65776117720462,0.0,2.0,3.0,1.0,0.6891481545832183
31.0,115.0,10056.0,1993.0,0.0,4.0,4.0,135.0,280.0,0.0,0.40678259080877716,0.03981803320562656,469822.0,433180.0,37162.0,32191.0,0.8692220402317883,-0.11801218678904979,0.7478905496173109,0.7118530473380645,0.8001278671108909,0.7953937591117315,0.6300430148716247,0.595903930022774
0.0,97.0,22000.0,1989.0,1.0,9.0,9.0,116.0,188.0,3.0,0.23027592308514175,0.08280591388422337,1110100.0,817001.0,87002.0,58501.0,0.5303478141799368,2.0,2.0,0.9152569549585903,0.6928849739422707,0.47361612042613443,0.7604142708033549,0.8236518817799492
2.0,110.0,30365.0,1983.0,2.0,6.0,7.0,122.0,208.0,2.0,0.19159650852667925,0.08935798735915927,1180502.0,895501.0,91998.0,64001.0,0.5645269239812335,0.0,3.0,1.1555143820447333,0.8545997336832022,0.568883677360928,0.5842685167175335,0.3567571371234671
22.0,142.0,15559.0,1979.0,1.0,9.0,27.0,146.0,122.0,0.0,0.4551117943127535,0.005962006227508545,297653.0,530146.0,24279.0,31066.0,0.750790321274448,0.36537714927918197,1.0,0.0,0.9150022616189982,0.0,3.0,0.39445110994839916
24.0,157.0,27649.0,1979.0,0.0,7.0,32.0,164.0,242.0,0.0,0.10477394778549728,-0.029645938754165418,487752.0,570819.0,40415.0,45268.0,1.2318346316982811,0.6262547993255327,0.0,3.0,0.8896682899285149,2.0,1.0,0.3834020550454377
25.0,102.0,18585.0,1983.0,4.0,8.0,18.0,122.55126731488812,231.0,1.0,0.4064653540541211,0.016383188850370267,733080.0,511763.0,59586.0,41168.0,0.38814782180486396,0.2292129979342146,0.15339756819408432,1.0,1.02308182991863,0.0,2.0,1.0199305271394712
27.0,144.0,17501.0,1982.0,3.0,8.0,19.0,152.0,130.0,0.0,0.00884248054454878,-0.25784215809616784,520000.0,568000.0,42001.0,44002.0,0.5611879037820683,0.362064098993942,0.8995861525216317,1.0,0.0,0.0,3.0,1.0146232542512472
28.0,118.0,10055.0,1994.0,0.0,4.0,7.0,135.0,280.0,0.0,0.37155842532556627,0.10235187721256643,469821.0,433179.0,37162.0,32190.0,0.3153899670668521,0.41983124675953176,0.42873877476277855,1.0131605092160252,1.0952268840264077,1.1567845942687474,1.0397831528158854,0.45858214335773195
0.0,101.0,21999.0,1988.0,3.0,7.0,8.0,112.0,188.0,3.0,0.4021092261481748,0.20567361501590326,1110098.0,816999.0,87001.0,58500.0,0.6640666061889428,0.0,3.0,1.1700206049847066,0.8586384450570741,0.5379901114396491,0.27531050103521826,0.7241880093623648
3.0,111.0,30362.0,1985.0,3.0,10.0,9.0,121.0,208.0,0.0,0.14212564048506537,0.22735104969966294,1180500.0,895501.0,92001.0,63998.0,0.4370541202992516,1.0,3.0,0.7493993054577065,0.7597836983007433,0.46970826095760365,0.37568130926824705,0.9487766995834849
20.0,139.0,15561.0,1976.0,4.0,7.0,26.0,145.0,122.0,1.0,-0.3054772112107771,-0.21529057803834228,297654.0,530147.0,24279.0,31064.0,0.654129879808265,0.4277029316232732,0.0,2.0,0.8941638367614126,0.0,2.0,0.5232573796842576
26.0,157.0,27646.0,1979.0,0.0,6.0,34.0,164.0,241.0,0.0,0.19316085483066714,0.08438961950211947,487748.0,570817.0,40414.0,45264.0,0.5342244408148109,0.6620892275831448,2.0,2.0,0.48767641871460854,0.0,3.0,0.9661696794513907
27.0,105.0,18582.0,1984.0,1.0,7.0,22.0,122.44511944318417,228.0,1.0,0.10622043959265859,0.1306444444359735,733081.0,511764.0,59586.0,41171.0,0.6537621687843321,0.3659685530616821,-0.045320493796366296,1.0,1.511022014896814,0.0,3.0,1.0225457340703779
26.0,144.0,17499.0,1982.0,1.0,6.0,20.0,152.0,128.0,0.0,0.2902781359871472,0.0019473694743959158,520000.0,568001.0,42001.0,44002.0,0.37902764050903115,0.4920287098055651,0.5701152630602212,0.0,0.0,1.0,3.0,0.6721890143179735
31.0,117.0,10053.0,1995.0,3.0,5.0,5.0,137.0,280.0,2.0,0.13064884878435273,0.15898850973544282,469822.0,433178.0,37163.0,32191.0,0.5834335010794232,-0.1411776526519682,0.931657765962069,0.9192682333469997,1.1088728581417204,1.125764825746002,1.129465665041506,0.8636867116618034
0.0,98.0,21999.0,1989.0,1.0,7.0,9.0,112.0,187.0,0.0,0.18972085231289407,0.061357246611102464,1110100.0,817000.0,87000.0,58502.0,0.7261103104273501,0.0,1.0,0.9074964262205755,0.7612389433816489,0.37768566567411715,0.5822624136438845,0.6474665124542394
1.0,113.0,30364.0,1982.0,1.0,6.0,11.0,125.0,208.0,0.0,0.15601485151876412,0.0832381993362912,1180498.0,895500.0,91998.0,64001.0,0.4305019112299321,2.0,0.0,1.0360168208861038,0.4499585171757955,0.6577804704404988,0.5548866209828965,0.7087477492847778
18.0,143.0,15563.0,1978.0,4.0,10.0,25.0,147.0,121.0,0.0,-0.03540584652548532,0.08567165932002373,297652.0,530146.0,24277.0,31066.0,0.7655889807390321,0.39462176142269423,0.0,0.0,1.045600814394264,2.0,1.0,0.30665569695863715
25.0,158.0,27645.0,1981.0,1.0,9.0,33.0,168.0,238.0,0.0,-0.0041336378285775285,-0.1532140154019386,487752.0,570817.0,40415.0,45268.0,0.5904640213017492,1.3663759357186929,0.0,0.0,0.552266618654963,1.0,0.0,0.4707424927986833
28.0,103.0,18586.0,1983.0,4.0,9.0,19.0,122.84982924079206,232.0,0.0,0.3857339169482714,-0.05743208179676426,733083.0,511767.0,59587.0,41168.0,0.6792358187315621,0.3320925761743007,0.22065186348499538,0.0,1.0099710081547895,3.0,0.0,0.7606441768396934
29.0,143.0,17501.0,1981.0,4.0,9.0,20.0,153.0,131.0,2.0,0.3301980776627954,0.027687385632450254,520000.0,568000.0,42001.0,44001.0,0.6342350742591536,0.5766894874590308,0.7054534869098,2.0,3.0,0.0,2.0,1.1779582326492486
30.0,116.0,10052.0,1994.0,2.0,3.0,3.0,134.0,284.0,2.0,-0.05387492725987644,-0.2468520555661205,469824.0,433180.0,37163.0,32190.0,0.4290995533436877,0.3443776662296549,0.9664537107521063,1.0570792749283007,0.7790184257328319,0.8982555252182324,0.7455555101738398,0.5854501086432902
0.0,101.0,22002.0,1986.0,0.0,9.0,7.0,112.0,185.0,1.0,0.3610807727953252,-0.15462428067266337,1110102.0,816998.0,86999.0,58498.0,0.5596296465359851,0.0,2.0,1.084807079529864,0.9262612190021158,0.5315604735450028,0.6465555205630882,0.4542251403679916
3.0,110.0,30365.0,1985.0,0.0,9.0,10.0,124.0,208.0,0.0,0.31808746270226107,0.18839510406430005,1180498.0,895501.0,92001.0,63998.0,0.7196416202602218,0.0,0.0,0.8046976390362153,0.9054249858827392,0.39345012364564497,0.4591769893114257,0.7787461784490878
20.0,140.0,15561.0,1978.0,1.0,9.0,27.0,145.0,119.0,2.0,-0.17531853379587783,0.05357880677784679,297655.0,530148.0,24278.0,31066.0,0.5413106721889023,0.314923169018258,0.0,0.0,0.598080804178251,2.0,3.0,0.4643468997178553
26.0,154.0,27649.0,1980.0,0.0,7.0,31.0,168.0,238.0,0.0,-0.20830226039943733,0.3456285191611166,487751.0,570820.0,40416.0,45268.0,0.25727894689765934,0.8145594539359793,2.0,0.0,0.5423477122598952,2.0,2.0,0.8865016788404749
25.0,103.0,18584.0,1982.0,4.0,6.0,21.0,122.27285155747215,232.0,2.0,0.25473032845775223,0.28196163722173556,733080.0,511767.0,59588.0,41168.0,0.36057172948901184,0.6253565101167766,-0.09291939319285608,0.0,1.0807635631332444,0.0,3.0,0.6609648433401445
25.0,143.0,17500.0,1983.0,2.0,9.0,19.0,152.0,128.0,1.0,0.223577405773694,0.02801359417585053,520002.0,568002.0,42000.0,43998.0,0.519903359781288,-0.00427506781879361,0.7202844574339293,2.0,0.0,0.0,1.0,0.5224260861619183
27.0,117.0,10054.0,1993.0,0.0,2.0,6.0,135.0,283.0,1.0,0.27765862541595693,-0.012479230007233291,469825.0,433177.0,37162.0,32191.0,0.5499348435270719,0.2514503868821976,0.7461864713861842,0.9521655499648971,0.49081555391058757,0.7181407960397541,0.6608674222416974,0.706411566776036
3.0,98.0,22001.0,1989.0,0.0,10.0,8.0,113.0,186.0,0.0,0.022090113766392527,0.29108008877941705,1110098.0,817001.0,87001.0,58502.0,0.22971349468407726,1.0,2.0,0.46960380676692803,0.4984235419824331,0.24848918094634126,0.6734570314848947,0.38226824822814875
1.0,110.0,30362.0,1981.0,0.0,8.0,7.0,123.0,205.0,0.0,-0.05196145487681986,-0.08500152518544915,1180501.0,895498.0,92001.0,64000.0,0.7454277742498747,0.0,0.0,0.9467413340479719,0.7010335810700292,0.5826230867096163,0.3173189584909662,0.7753319480261801
22.0,142.0,15562.0,1980.0,4.0,6.0,28.0,147.0,118.0,1.0,0.4130431514329184,-0.13160228086413026,297656.0,530146.0,24275.0,31064.0,0.6031894960442151,0.1549293388607442,1.0,1.0,0.7176725563665366,0.0,2.0,0.4987809177297585
26.0,157.0,27645.0,1982.0,0.0,10.0,30.0,164.0,241.0,0.0,0.11460339214868526,0.0010513855343630696,487749.0,570817.0,40416.0,45266.0,0.6383181562641967,0.7870705533924118,0.0,1.0,1.0063070445704703,0.0,2.0,0.5311614635562246
24.0,105.0,18583.0,1983.0,2.0,8.0,19.0,122.66542239507427,228.0,0.0,-0.006931487339681727,-0.2588438598929424,733081.0,511763.0,59586.0,41172.0,0.7931931149476655,0.4686997962525367,0.2314098237162047,1.0,0.7217053797106678,1.0,2.0,0.7520508620661229
25.0,143.0,17499.0,1983.0,4.0,6.0,20.0,155.0,131.0,0.0,0.2660319312252421,-0.08068303713037256,520001.0,568000.0,42002.0,43998.0,0.20752129802637076,0.4811066159203068,0.4863441284643065,2.0,0.0,2.0,2.0,0.23636270952631605
29.0,116.0,10056.0,1995.0,0.0,3.0,5.0,136.0,280.0,0.0,0.05411631765222,-0.01635700549017484,469824.0,433177.0,37161.0,32190.0,0.40627662024311545,0.19862239093980005,0.7451830929237024,1.0179581028000482,0.9601535860038829,0.4085579533466283,0.7808054794245225,0.3782946568602069
0.0,100.0,22000.0,1988.0,0.0,10.0,7.0,112.0,187.0,1.0,0.3675170725411262,0.42442290785355447,1110101.0,816998.0,86998.0,58499.0,0.05630676584786104,1.0,0.0,0.8649121998480063,0.95130231184947,0.6583841542758002,1.0000172739961384,0.622819851865494
3.0,111.0,30365.0,1982.0,2.0,9.0,7.0,121.0,207.0,2.0,0.2127447222527647,0.07006631164405222,1180498.0,895500.0,92002.0,63998.0,0.13119050723641823,0.0,1.0,0.5257932191522855,0.6333510208140273,-0.1403282802540029,0.630329486209138,0.7671708311355652
19.0,140.0,15561.0,1978.0,3.0,9.0,24.0,145.0,122.0,1.0,0.09958515910522375,-0.06884556009735526,297655.0,530147.0,24275.0,31064.0,0.8645628503106527,0.47459410545573333,0.0,2.0,0.731158565339097,3.0,0.0,0.3477486651478814
24.0,155.0,27648.0,1980.0,0.0,8.0,34.0,166.0,239.0,0.0,-0.1996459373278686,0.008593412774053687,487750.0,570819.0,40414.0,45268.0,0.5068687209441363,0.7095049475092884,3.0,0.0,0.8338511279374035,2.0,1.0,0.4963606606888874
25.0,105.0,18584.0,1981.0,4.0,9.0,19.0,122.55621261276136,229.0,1.0,-0.21624182745806594,0.04983984553375819,733083.0,511764.0,59588.0,41171.0,0.0920594874870066,0.14198081099917498,0.4081930346909466,0.0,1.0697192161407514,3.0,2.0,0.8745691004446999
28.0,144.0,17499.0,1985.0,2.0,6.0,18.0,154.0,129.0,0.0,0.5169878954370841,0.1745419779916217,520001.0,567998.0,42000.0,44000.0,0.012371513475677443,0.642414743619129,0.608125850144498,1.0,2.0,0.0,0.0,0.7542169074409064
28.0,115.0,10052.0,1995.0,3.0,3.0,7.0,137.0,280.0,0.0,0.09880810625432426,0.1522768285581025,469824.0,433177.0,37160.0,32192.0,0.4842884256787881,-0.13821857593554332,0.5880532557758832,1.0555160199814333,0.9280393014894446,0.9299469733511101,0.8348464134336229,0.7470606006332137
2.0,101.0,22000.0,1988.0,2.0,6.0,10.0,114.0,188.0,0.0,0.4192404174618294,-0.22214865396681238,1110099.0,817002.0,87002.0,58499.0,0.5621926603810598,0.0,0.0,0.8760034113707151,0.5944644428158823,0.7506138689982742,0.8134525435072079,0.18384295300346365
2.0,110.0,30363.0,1985.0,3.0,7.0,9.0,121.0,205.0,2.0,0.18482315158747675,-0.25363512342617434,1180501.0,895501.0,91998.0,64001.0,0.4919701432742379,2.0,0.0,0.7813032626244091,0.8934404899107865,0.465322778281279,0.5930876715901223,0.2722598979097591
21.0,139.0,15563.0,1980.0,3.0,9.0,25.0,148.0,122.0,0.0,0.08542432626112069,-0.05365693666362308,297654.0,530148.0,24277.0,31065.0,0.6356688509484512,0.33406295997927854,0.0,1.0,0.9859181557618687,0.0,2.0,0.5215850246809443
27.0,154.0,27646.0,1982.0,0.0,9.0,30.0,168.0,239.0,0.0,-0.1710751082622394,0.034106120709084524,487748.0,570818.0,40418.0,45268.0,0.8599172975854774,0.6230975533271951,3.0,0.0,0.7908094581899603,3.0,2.0,0.4941782784853839
28.0,101.0,18584.0,1985.0,4.0,6.0,22.0,122.11171762177057,230.0,2.0,0.35959144993060266,-0.4000725358308279,733082.0,511767.0,59587.0,41168.0,0.46001123148336126,0.5046921539874627,0.09736849017724576,0.0,1.0497984363414767,1.0,2.0,0.8232936471687373
26.0,143.0,17500.0,1984.0,1.0,9.0,19.0,153.0,128.0,1.0,-0.0022929522254399592,0.10270257707137435,519998.0,568002.0,42001.0,44000.0,0.7437493955900962,0.11548676315800455,1.0869302113679182,0.0,2.0,1.0,3.0,0.6377721309918559
28.0,117.0,10055.0,1993.0,2.0,6.0,7.0,138.0,280.0,0.0,0.19442269986529143,0.07096584151526715,469825.0,433179.0,37164.0,32190.0,0.5570661882255581,0.45406835097535647,0.5164210322115883,0.7901640631096687,0.8854264492669659,0.8220147830384831,0.7901062278404248,0.6052967406772662
1.0,100.0,22002.0,1988.0,0.0,7.0,9.0,112.0,186.0,3.0,-0.06596814365433606,0.393069422148303,1110101.0,817002.0,87001.0,58499.0,0.5343868937004239,2.0,0.0,0.34240116285732397,0.8742709894852345,0.1779829733980519,0.5409952225246265,0.7147146691138695
1.0,114.0,30363.0,1983.0,3.0,8.0,11.0,122.0,205.0,0.0,0.39015800076709706,-0.11615791367883052,1180498.0,895498.0,92000.0,63998.0,0.8472651119295395,0.0,0.0,0.38773397993230696,0.6616067503770833,0.6121084625875298,0.12693279999682133,0.7248266334535461
